Title,US_Gross,Worldwide_Gross,US_DVD_Sales,Production_Budget,Release_Date,MPAA_Rating,Running_Time_min,Distributor,Source,Major_Genre,Creative_Type,Director,Rotten_Tomatoes_Rating,IMDB_Rating,IMDB_Votes,year
The Abyss,54243125,54243125,NA,70000000,Aug 09 1989,PG-13,NA,20th Century Fox,Original Screenplay,Action,Science Fiction,James Cameron,88,7.6,51018,1989
Action Jackson,20257000,20257000,NA,7000000,Feb 12 1988,(Missing),NA,Lorimar Motion Pictures,Original Screenplay,Action,Contemporary Fiction,NA,10,4.6,3856,1988
Ace Ventura: Pet Detective,72217396,107217396,NA,12000000,Feb 04 1994,PG-13,NA,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Tom Shadyac,49,6.6,63543,1994
Annie Get Your Gun,8000000,8000000,NA,3768785,May 17 1950,(Missing),NA,MGM,Based on Book/Short Story,Musical,NA,NA,100,7.1,1326,1950
Alice in Wonderland,0,0,NA,3000000,Jul 28 1951,(Missing),NA,RKO Radio Pictures,Based on Book/Short Story,Musical,NA,NA,20,6.7,63458,1951
The Alamo,7900000,7900000,NA,12000000,Oct 24 1960,PG-13,NA,United Artists,Original Screenplay,Western,Historical Fiction,John Wayne,54,5.9,10063,1960
Alive,36299670,36299670,NA,32000000,Jan 15 1993,R,NA,Walt Disney Pictures,Based on Book/Short Story,Adventure,Dramatization,Frank Marshall,71,3.2,124,1993
American Graffiti,115000000,140000000,NA,777000,Aug 11 1973,(Missing),NA,Universal,Original Screenplay,Comedy,NA,George Lucas,97,7.6,30952,1973
The American President,60022813,107822813,NA,62000000,Nov 17 1995,PG-13,NA,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Rob Reiner,90,6.8,22780,1995
Annie Hall,38251425,38251425,NA,4000000,Apr 20 1977,(Missing),NA,MGM,Original Screenplay,Comedy,NA,Woody Allen,98,8.2,65406,1977
The Adventures of Huck Finn,24103594,24103594,NA,6500000,Apr 02 1993,PG,NA,Walt Disney Pictures,Based on Book/Short Story,Adventure,Historical Fiction,Stephen Sommers,62,5.8,3095,1993
The Apartment,18600000,24600000,NA,3000000,Dec 31 1959,(Missing),NA,United Artists,Original Screenplay,Romantic Comedy,NA,Billy Wilder,91,8.4,36485,1959
Apocalypse Now,78800000,78800000,3479242,31500000,Aug 15 1979,R,NA,MGM,Based on Book/Short Story,Action,Historical Fiction,Francis Ford Coppola,98,8.6,173141,1979
Arachnophobia,53208180,53208180,NA,31000000,Jul 18 1990,(Missing),NA,Walt Disney Pictures,Original Screenplay,Thriller/Suspense,Science Fiction,Frank Marshall,85,6.2,20528,1990
And Then Came Love,8158,8158,NA,989000,Jun 01 2007,Not Rated,NA,Fox Meadow,NA,Comedy,NA,NA,17,4.4,200,2007
Around the World in 80 Days,42000000,42000000,NA,6000000,Oct 17 1956,PG,NA,United Artists,Based on Book/Short Story,Adventure,NA,NA,73,5.6,21516,1956
Barbarella,0,0,NA,9000000,Oct 10 1968,(Missing),NA,Paramount Pictures,Based on Comic/Graphic Novel,Adventure,Science Fiction,NA,74,5.7,10794,1968
Barry Lyndon,20000000,20000000,NA,11000000,Dec 31 1974,(Missing),NA,Warner Bros.,Based on Book/Short Story,Drama,NA,Stanley Kubrick,94,8.1,39909,1974
Babe,63658910,246100000,NA,30000000,Aug 04 1995,G,NA,Universal,Based on Book/Short Story,Adventure,Contemporary Fiction,Chris Noonan,98,7.3,35644,1995
Baby's Day Out,16581575,16581575,NA,50000000,Jul 01 1994,PG,NA,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,Patrick Read Johnson,21,5,8332,1994
"Bon Cop, Bad Cop",12671300,12671300,NA,8000000,Aug 04 2006,Not Rated,NA,Alliance,Original Screenplay,Comedy,Contemporary Fiction,NA,67,6.9,151,2006
Back to the Future,210609762,381109762,NA,19000000,Jul 03 1985,(Missing),NA,Universal,Original Screenplay,Adventure,Science Fiction,Robert Zemeckis,96,8.4,201598,1985
Back to the Future Part II,118450002,332000000,NA,40000000,Nov 22 1989,(Missing),NA,Universal,Original Screenplay,Adventure,Science Fiction,Robert Zemeckis,64,7.5,87341,1989
Back to the Future Part III,87666629,243700000,NA,40000000,May 24 1990,(Missing),NA,Universal,Original Screenplay,Adventure,Science Fiction,Robert Zemeckis,71,7.1,77541,1990
Butch Cassidy and the Sundance Kid,102308900,102308900,NA,6000000,Oct 24 1969,(Missing),NA,20th Century Fox,NA,Western,Historical Fiction,George Roy Hill,90,8.2,57602,1969
Bad Boys,65647413,141247413,NA,23000000,Apr 07 1995,R,NA,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Michael Bay,39,6.6,53929,1995
Body Double,8801940,8801940,NA,10000000,Oct 26 1984,(Missing),NA,Sony/Columbia,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Brian De Palma,84,6.4,9738,1984
Beastmaster 2: Through the Portal of Time,773490,773490,NA,6000000,Aug 30 1991,(Missing),NA,New Line,Based on Book/Short Story,(Missing),Fantasy,NA,17,3.3,1327,1991
The Beastmaster,10751126,10751126,NA,5000000,Aug 20 1982,(Missing),NA,MGM,Based on Book/Short Story,Action,Fantasy,NA,50,5.7,5734,1982
Ben-Hur,73000000,73000000,NA,15000000,Nov 18 1959,(Missing),NA,MGM,Based on Book/Short Story,Adventure,NA,William Wyler,91,8.2,58510,1959
Benji,31559560,31559560,NA,500000,Nov 15 1974,(Missing),NA,NA,Original Screenplay,Adventure,NA,NA,83,5.8,1801,1974
Before Sunrise,5274005,5274005,NA,2500000,Jan 27 1995,R,NA,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,Richard Linklater,100,8,39705,1995
Beauty and the Beast,171340294,403476931,NA,20000000,Nov 13 1991,G,NA,Walt Disney Pictures,Based on Book/Short Story,Musical,Fantasy,Gary Trousdale,93,3.4,354,1991
The Best Years of Our Lives,23600000,23600000,NA,2100000,Nov 21 2046,(Missing),NA,RKO Radio Pictures,Based on Book/Short Story,Drama,NA,William Wyler,97,8.2,17338,2046
My Big Fat Independent Movie,4655,4655,NA,3000000,Sep 30 2005,R,NA,Big Fat Movies,NA,Comedy,Contemporary Fiction,NA,23,3.2,1119,2005
Battle for the Planet of the Apes,8800000,8800000,NA,1800000,Dec 31 1972,(Missing),NA,20th Century Fox,NA,(Missing),Science Fiction,Jack Lee Thompson,38,5,6094,1972
Bogus,4357406,4357406,NA,32000000,Sep 06 1996,PG,NA,Warner Bros.,Original Screenplay,Comedy,Fantasy,Norman Jewison,40,4.8,2742,1996
Beverly Hills Cop,234760478,316300000,NA,15000000,Dec 05 1984,(Missing),NA,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,Martin Brest,83,7.3,45065,1984
Beverly Hills Cop II,153665036,276665036,NA,20000000,May 20 1987,R,NA,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,Tony Scott,46,6.1,29712,1987
Beverly Hills Cop III,42586861,119180938,NA,50000000,May 25 1994,R,NA,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,John Landis,10,5,21199,1994
The Black Hole,35841901,35841901,NA,20000000,Dec 21 1979,(Missing),NA,Walt Disney Pictures,Original Screenplay,(Missing),Science Fiction,NA,42,5.6,7810,1979
Big,114968774,151668774,NA,18000000,Jun 03 1988,(Missing),NA,20th Century Fox,Original Screenplay,Comedy,Fantasy,Penny Marshall,96,7.2,49256,1988
The Big Parade,11000000,22000000,NA,245000,Jan 01 2025,(Missing),NA,MGM,Based on Play,Drama,NA,King Vidor,100,8.4,2600,2025
Boyz n the Hood,56190094,56190094,NA,6500000,Jul 12 1991,(Missing),NA,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,John Singleton,98,7.8,30299,1991
"Bright Lights, Big City",16118077,16118077,NA,25000000,Apr 01 1988,R,NA,United Artists,Based on Book/Short Story,Drama,Contemporary Fiction,NA,61,6.8,11929,1988
The Blue Butterfly,1610194,1610194,NA,10400000,Feb 20 2004,PG,NA,Alliance,Original Screenplay,Drama,Contemporary Fiction,NA,44,6.2,817,2004
Blade Runner,32656328,33139618,NA,28000000,Jun 25 1982,R,NA,Warner Bros.,Based on Book/Short Story,Thriller/Suspense,Science Fiction,Ridley Scott,92,8.3,185546,1982
The Blues Brothers,57229890,57229890,NA,27000000,Jun 20 1980,(Missing),NA,Universal,Original Screenplay,Musical,Contemporary Fiction,John Landis,84,7.9,62941,1980
Blow Out,13747234,13747234,NA,18000000,Jul 24 1981,(Missing),NA,Filmways Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Brian De Palma,89,7.1,10239,1981
The Broadway Melody,2800000,4358000,NA,379000,Dec 31 1928,(Missing),NA,MGM,Original Screenplay,Musical,NA,NA,38,6.7,2017,1928
Bound,3802260,6300000,NA,4500000,Oct 04 1996,R,NA,Gramercy,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Andy Wachowski,88,7.4,23564,1996
Bananas,NA,NA,NA,2000000,Apr 28 1971,PG-13,NA,MGM,Original Screenplay,Comedy,NA,Woody Allen,89,7.1,12415,1971
Bill & Ted's Bogus Journey,37537675,37537675,NA,20000000,Jul 19 1991,(Missing),NA,Orion Pictures,Original Screenplay,Comedy,Fantasy,Peter Hewitt,58,5.8,20188,1991
The Birth of a Nation,10000000,11000000,NA,110000,Feb 08 2015,(Missing),NA,NA,Based on Book/Short Story,Drama,NA,NA,100,7.1,8901,2015
The Ballad of Cable Hogue,3500000,5000000,NA,3716946,May 13 1970,(Missing),NA,Warner Bros.,Original Screenplay,Western,Historical Fiction,Sam Peckinpah,92,7.3,3125,1970
The Blood of My Brother: A Story of Death in Iraq,0,0,NA,120000,Jun 30 2006,(Missing),NA,Lifesize Entertainment,Based on Real Life Events,Documentary,Factual,NA,71,7.6,90,2006
Boomerang,70052444,131052444,NA,42000000,Jul 01 1992,(Missing),NA,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,NA,37,5.9,202,1992
The Bridge on the River Kwai,33300000,33300000,NA,3000000,Dec 18 1957,(Missing),NA,Sony/Columbia,Based on Book/Short Story,Drama,NA,David Lean,95,8.4,58641,1957
Born on the Fourth of July,70001698,70001698,NA,14000000,Dec 20 1989,(Missing),NA,Universal,Based on Book/Short Story,Drama,Dramatization,Oliver Stone,89,7.2,32108,1989
Basquiat,2962051,2962051,NA,3000000,Aug 09 1996,R,NA,Miramax,Based on Real Life Events,Drama,Dramatization,Julian Schnabel,69,6.7,7935,1996
Black Rain,45892212,45892212,NA,30000000,Sep 22 1989,(Missing),NA,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Ridley Scott,57,4.1,137,1989
Bottle Rocket,407488,407488,NA,5000000,Feb 21 1996,R,NA,Sony Pictures,Based on Short Film,Adventure,NA,Wes Anderson,79,7.2,21980,1996
The Bridges of Madison County,71516617,175516617,NA,22000000,Jun 02 1995,PG-13,NA,Warner Bros.,Based on Book/Short Story,Drama,Historical Fiction,Clint Eastwood,90,7.2,21923,1995
The Brothers McMullen,10426506,10426506,NA,25000,Aug 09 1995,R,NA,Fox Searchlight,Original Screenplay,Drama,Contemporary Fiction,Edward Burns,91,6.4,4365,1995
Broken Arrow,70645997,148345997,NA,65000000,Feb 09 1996,R,108,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,John Woo,55,5.8,33584,1996
Brainstorm,8921050,8921050,NA,15000000,Sep 30 1983,(Missing),NA,MGM,Based on Book/Short Story,Thriller/Suspense,Science Fiction,NA,64,6.3,4410,1983
Braveheart,75545647,209000000,NA,72000000,May 24 1995,R,NA,Paramount Pictures,Based on Real Life Events,Drama,Dramatization,Mel Gibson,77,8.4,240642,1995
Brazil,9929135,9929135,NA,15000000,Dec 18 1985,R,136,Universal,Original Screenplay,Black Comedy,Fantasy,Terry Gilliam,98,8,76635,1985
Blazing Saddles,119500000,119500000,NA,2600000,Jan 01 1974,(Missing),NA,Warner Bros.,Original Screenplay,Comedy,NA,Mel Brooks,89,7.8,45771,1974
Bill & Ted's Excellent Adventure,39916091,39916091,NA,10000000,Feb 17 1989,(Missing),NA,Orion Pictures,Original Screenplay,Comedy,Science Fiction,Stephen Herek,81,6.7,30341,1989
A Bridge Too Far,50800000,50800000,NA,26000000,Jun 15 1977,(Missing),NA,MGM,Based on Book/Short Story,Action,NA,Sir Richard Attenborough,67,7.3,16882,1977
Batman Returns,162831698,266822354,NA,80000000,Jun 18 1992,PG-13,NA,Warner Bros.,Original Screenplay,Action,Super Hero,Tim Burton,78,6.9,78673,1992
Batman Forever,184031112,336529144,NA,100000000,Jun 16 1995,PG-13,NA,Warner Bros.,Original Screenplay,Action,Super Hero,Joel Schumacher,43,5.4,76218,1995
Batman,251188924,411348924,NA,35000000,Jun 23 1989,PG-13,NA,Warner Bros.,Based on Comic/Graphic Novel,Action,Super Hero,Tim Burton,71,7.6,111464,1989
Buffy the Vampire Slayer,14231669,14231669,NA,7000000,Jul 31 1992,(Missing),NA,20th Century Fox,Original Screenplay,Horror,Fantasy,NA,32,5.3,16056,1992
Beyond the Valley of the Dolls,9000000,9000000,NA,1000000,Jan 01 1970,(Missing),NA,20th Century Fox,Original Screenplay,Comedy,NA,NA,68,5.7,4626,1970
The Boys from Brazil,19000000,19000000,NA,12000000,Dec 31 1977,(Missing),NA,20th Century Fox,Based on Book/Short Story,Thriller/Suspense,NA,Franklin J. Schaffner,65,7,8741,1977
Caddyshack,39846344,39846344,NA,6000000,Jul 25 1980,(Missing),NA,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Harold Ramis,75,7.3,35436,1980
Cape Fear,79091969,182291969,NA,35000000,Nov 15 1991,R,NA,Universal,Remake,Thriller/Suspense,Contemporary Fiction,Martin Scorsese,76,7.3,47196,1991
Clear and Present Danger,122012656,207500000,NA,62000000,Aug 03 1994,PG-13,NA,Paramount Pictures,Based on Book/Short Story,Action,Contemporary Fiction,Phillip Noyce,78,6.8,29612,1994
Carrie,25878153,25878153,NA,1800000,Nov 16 1976,(Missing),NA,MGM,Based on Book/Short Story,Horror,Contemporary Fiction,Brian De Palma,90,7.4,38767,1976
Casino Royale,22744718,41744718,NA,12000000,Apr 28 1967,(Missing),NA,Sony Pictures,Based on Book/Short Story,Comedy,Contemporary Fiction,John Huston,30,8,172936,1967
The Cotton Club,25928721,25928721,NA,48000000,Dec 14 1984,(Missing),NA,Orion Pictures,Original Screenplay,Drama,Historical Fiction,Francis Ford Coppola,74,6.3,6940,1984
Crop Circles: Quest for Truth,0,0,NA,600000,Aug 23 2002,(Missing),NA,NA,NA,(Missing),NA,NA,60,7.1,153,2002
Close Encounters of the Third Kind,166000000,337700000,NA,20000000,Nov 16 1977,(Missing),NA,Sony Pictures,Original Screenplay,Adventure,Science Fiction,Steven Spielberg,95,7.8,59049,1977
The Cable Guy,60240295,102825796,NA,47000000,Jun 14 1996,PG-13,95,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Ben Stiller,52,5.8,51109,1996
Child's Play,33244684,44196684,NA,9000000,Nov 09 1988,(Missing),NA,United Artists,Original Screenplay,Horror,Fantasy,NA,70,6.3,16165,1988
Child's Play 2,26904572,34166572,NA,13000000,Nov 09 1990,(Missing),NA,Universal,Original Screenplay,Horror,Fantasy,NA,38,5.1,8666,1990
Chain Reaction,21226204,60209334,NA,55000000,Aug 02 1996,PG-13,106,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,Andrew Davis,13,5.2,15817,1996
Chariots of Fire,57159946,57159946,NA,5500000,Sep 25 1981,(Missing),NA,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Hugh Hudson,86,7.3,16138,1981
A Christmas Story,19294144,19294144,NA,3250000,Nov 18 1983,PG,NA,MGM,Based on Book/Short Story,Comedy,Historical Fiction,NA,88,8,51757,1983
Cat on a Hot Tin Roof,17570324,17570324,NA,3000000,Sep 20 1958,(Missing),NA,MGM,Based on Play,Drama,Contemporary Fiction,Richard Brooks,100,8,14540,1958
Crooklyn,13024170,13024170,NA,14000000,May 13 1994,PG-13,NA,Universal,Original Screenplay,Comedy,Historical Fiction,Spike Lee,75,6.5,3137,1994
Cleopatra,48000000,62000000,NA,36000000,Jun 12 1963,(Missing),NA,20th Century Fox,Based on Real Life Events,Drama,Dramatization,NA,40,6.8,7870,1963
Cliffhanger,84049211,255000000,NA,65000000,May 28 1993,(Missing),NA,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Renny Harlin,82,6.2,34447,1993
The Client,92115211,117615211,NA,45000000,Jul 20 1994,PG-13,NA,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,Joel Schumacher,80,6.5,19299,1994
Clueless,56598476,56598476,NA,13700000,Jul 01 1995,PG-13,NA,Paramount Pictures,Based on Book/Short Story,Comedy,Contemporary Fiction,Amy Heckerling,83,6.7,39055,1995
The Color Purple,93589701,93589701,NA,15000000,Dec 18 1985,(Missing),NA,Warner Bros.,Based on Book/Short Story,Drama,Historical Fiction,Steven Spielberg,88,7.7,26962,1985
Clerks,3073428,3073428,NA,27000,Oct 19 1994,R,NA,Miramax,Original Screenplay,Comedy,Contemporary Fiction,Kevin Smith,88,7.9,89991,1994
Clash of the Titans,30000000,30000000,NA,15000000,Jun 12 1981,(Missing),108,MGM,Traditional/Legend/Fairytale,Adventure,Fantasy,NA,65,5.9,45773,1981
Commando,35073978,35073978,NA,10000000,Oct 04 1985,(Missing),NA,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,NA,71,4.5,49,1985
The Color of Money,52293000,52293000,NA,10000000,Oct 17 1986,(Missing),NA,Walt Disney Pictures,NA,Drama,Contemporary Fiction,Martin Scorsese,91,6.9,25824,1986
Cinderella,85000000,85000000,NA,2900000,Feb 15 1950,(Missing),NA,Walt Disney Pictures,Traditional/Legend/Fairytale,Drama,Fantasy,NA,92,5.1,373,1950
Congo,81022333,152022333,NA,50000000,Jun 09 1995,PG-13,NA,Paramount Pictures,Based on Book/Short Story,Adventure,Contemporary Fiction,Frank Marshall,21,4.6,17954,1995
Conan the Barbarian,38264085,38264085,NA,20000000,May 14 1982,(Missing),NA,Universal,Based on Book/Short Story,Action,Fantasy,John Milius,76,6.8,38886,1982
Conan the Destroyer,26400000,26400000,NA,18000000,Jun 29 1984,(Missing),NA,Universal,Based on Book/Short Story,Action,Fantasy,Richard Fleischer,29,5.4,20368,1984
The Clan of the Cave Bear,1953732,1953732,NA,15000000,Jan 17 1986,(Missing),NA,Warner Bros.,Based on Book/Short Story,Adventure,Historical Fiction,NA,13,4.9,2763,1986
Coming Home,32653000,32653000,NA,3000000,Dec 31 1977,(Missing),NA,NA,NA,(Missing),NA,Hal Ashby,81,7.3,4410,1977
Cool Runnings,68856263,155056263,NA,14000000,Oct 01 1993,(Missing),NA,Walt Disney Pictures,Based on Real Life Events,Comedy,Contemporary Fiction,Jon Turteltaub,73,6.5,24533,1993
Conquest of the Planet of the Apes,9700000,9700000,NA,1700000,Dec 31 1971,(Missing),NA,NA,NA,(Missing),NA,Jack Lee Thompson,44,5.8,6188,1971
Crocodile Dundee,174803506,328000000,NA,5000000,Sep 26 1986,(Missing),NA,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,NA,88,6.5,27277,1986
Creepshow,20036244,20036244,NA,8000000,Nov 10 1982,(Missing),NA,Warner Bros.,Based on Book/Short Story,Horror,Fantasy,George A. Romero,67,6.5,12530,1982
Creepshow 2,14000000,14000000,NA,3500000,May 01 1987,(Missing),NA,New World,Based on Book/Short Story,Horror,Fantasy,NA,26,5.4,5910,1987
The Crying Game,62546695,62546695,NA,4000000,Nov 25 1992,R,NA,Miramax,Original Screenplay,Drama,Contemporary Fiction,Neil Jordan,100,7.3,21195,1992
Crimson Tide,91387195,159387195,NA,55000000,May 12 1995,R,NA,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Tony Scott,86,7.2,33354,1995
Casablanca,10462500,10462500,NA,950000,Dec 31 1941,(Missing),NA,Warner Bros.,Based on Play,Drama,Historical Fiction,Michael Curtiz,97,8.8,167939,1941
Casino,42438300,110400000,NA,52000000,Nov 22 1995,R,NA,Universal,Based on Book/Short Story,Drama,Historical Fiction,Martin Scorsese,81,8.1,108634,1995
Casper,100328194,282300000,NA,55000000,May 26 1995,PG,NA,Universal,Based on TV,Comedy,Fantasy,Brad Silberling,41,5.7,26121,1995
Catch-22,24911670,24911670,NA,18000000,Jun 24 1970,(Missing),NA,Paramount Pictures,Based on Book/Short Story,Comedy,Historical Fiction,Mike Nichols,87,7.1,9671,1970
City Hall,20278055,20278055,NA,40000000,Feb 16 1996,R,111,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,Harold Becker,55,6.1,9908,1996
Cutthroat Island,10017322,10017322,NA,92000000,Dec 22 1995,PG-13,NA,MGM,Original Screenplay,Adventure,Historical Fiction,Renny Harlin,45,5.3,10346,1995
Cat People,4000000,8000000,NA,134000,Nov 16 2042,(Missing),NA,RKO Radio Pictures,Original Screenplay,Drama,Fantasy,NA,91,5.9,6791,2042
Courage Under Fire,59003384,100833145,NA,46000000,Jul 12 1996,R,115,20th Century Fox,Original Screenplay,Drama,Historical Fiction,Edward Zwick,85,6.6,19682,1996
The Conversation,4420000,4420000,NA,1600000,Apr 07 1974,(Missing),NA,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Francis Ford Coppola,98,8.1,33005,1974
Copycat,32051917,32051917,NA,20000000,Oct 27 1995,R,NA,Warner Bros.,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Jon Amiel,75,6.5,17182,1995
Desperado,25532388,25532388,NA,7000000,Aug 25 1995,R,NA,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Robert Rodriguez,61,7,51515,1995
Diamonds Are Forever,43800000,116000000,NA,7200000,Dec 17 1971,(Missing),NA,MGM,Based on Book/Short Story,Action,NA,Guy Hamilton,67,6.7,25354,1971
Dante's Peak,67163857,178200000,NA,115000000,Feb 07 1997,PG-13,108,Universal,Original Screenplay,Drama,Contemporary Fiction,Roger Donaldson,28,5.6,23472,1997
Daylight,32908290,158908290,NA,80000000,Dec 06 1996,PG-13,115,Universal,Original Screenplay,Action,Contemporary Fiction,Rob Cohen,22,5.4,20052,1996
Dick Tracy,103738726,162738726,NA,47000000,Jun 15 1990,(Missing),NA,Walt Disney Pictures,Based on Comic/Graphic Novel,Action,Super Hero,Warren Beatty,65,5.9,25364,1990
The Addams Family,113502246,191502246,NA,30000000,Nov 22 1991,(Missing),NA,Paramount Pictures,Based on TV,Comedy,Fantasy,Barry Sonnenfeld,59,6.6,28907,1991
Death Becomes Her,58422650,149022650,NA,55000000,Jul 31 1992,(Missing),NA,Universal,Original Screenplay,Comedy,Fantasy,Robert Zemeckis,53,6,27681,1992
Dead Poets' Society,95860116,239500000,NA,16400000,Jun 02 1989,(Missing),NA,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,Peter Weir,86,7.8,89662,1989
The Day the Earth Stood Still,3700000,3700000,NA,1200000,Mar 04 2003,(Missing),NA,NA,NA,(Missing),NA,NA,94,5.5,51517,2003
Dragonheart,51364680,104364680,NA,57000000,May 31 1996,PG-13,108,Universal,Original Screenplay,Adventure,Fantasy,Rob Cohen,50,6.2,26309,1996
Die Hard,81350242,139109346,NA,28000000,Jul 15 1988,(Missing),NA,20th Century Fox,Based on Book/Short Story,Action,Contemporary Fiction,John McTiernan,94,7.3,237,1988
Diner,12592907,12592907,NA,5000000,Apr 02 1982,(Missing),NA,MGM,Original Screenplay,Comedy,Historical Fiction,Barry Levinson,96,7.1,7803,1982
Don Juan DeMarco,22032635,22032635,NA,25000000,Apr 07 1995,PG-13,NA,New Line,Original Screenplay,Drama,Contemporary Fiction,NA,73,6.6,20386,1995
Dead Man Walking,39387284,83088295,NA,11000000,Dec 29 1995,R,NA,Gramercy,Based on Real Life Events,Drama,Dramatization,Tim Robbins,94,7.6,32159,1995
Dances with Wolves,184208842,424200000,NA,19000000,Nov 09 1990,(Missing),NA,Orion Pictures,Based on Book/Short Story,Western,Historical Fiction,Kevin Costner,76,8,71399,1990
Dangerous Liaisons,34700000,34700000,NA,14000000,Dec 21 1988,(Missing),NA,Warner Bros.,Based on Book/Short Story,Drama,Historical Fiction,Stephen Frears,93,7.7,25761,1988
Donovan's Reef,6600000,6600000,NA,2686000,Dec 31 1962,(Missing),NA,NA,NA,(Missing),NA,John Ford,60,6.6,2907,1962
Double Impact,29090445,29090445,NA,16000000,Aug 09 1991,(Missing),NA,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Sheldon Lettich,8,4.7,10426,1991
