name,shortName,size,parent
flare.data.converters.Converters,Converters,721,flare.data.converters
flare.data.converters.DelimitedTextConverter,DelimitedTextConverter,4294,flare.data.converters
flare.data.converters.GraphMLConverter,GraphMLConverter,9800,flare.data.converters
flare.data.converters.IDataConverter,IDataConverter,1314,flare.data.converters
flare.data.converters.JSONConverter,JSONConverter,2220,flare.data.converters
flare.data.DataField,DataField,1759,flare.data
flare.data.DataSchema,DataSchema,2165,flare.data
flare.data.DataSet,DataSet,586,flare.data
flare.data.DataSource,DataSource,3331,flare.data
flare.data.DataTable,DataTable,772,flare.data
flare.data.DataUtil,DataUtil,3322,flare.data
flare.display.DirtySprite,DirtySprite,8833,flare.display
flare.display.LineSprite,LineSprite,1732,flare.display
flare.display.RectSprite,RectSprite,3623,flare.display
flare.display.TextSprite,TextSprite,10066,flare.display
flare.flex.FlareVis,FlareVis,4116,flare.flex
flare.physics.DragForce,DragForce,1082,flare.physics
flare.physics.GravityForce,GravityForce,1336,flare.physics
flare.physics.IForce,IForce,319,flare.physics
flare.physics.NBodyForce,NBodyForce,10498,flare.physics
flare.physics.Particle,Particle,2822,flare.physics
flare.physics.Simulation,Simulation,9983,flare.physics
flare.physics.Spring,Spring,2213,flare.physics
flare.physics.SpringForce,SpringForce,1681,flare.physics
flare.query.AggregateExpression,AggregateExpression,1616,flare.query
flare.query.And,And,1027,flare.query
flare.query.Arithmetic,Arithmetic,3891,flare.query
flare.query.Average,Average,891,flare.query
flare.query.BinaryExpression,BinaryExpression,2893,flare.query
flare.query.Comparison,Comparison,5103,flare.query
flare.query.CompositeExpression,CompositeExpression,3677,flare.query
flare.query.Count,Count,781,flare.query
flare.query.DateUtil,DateUtil,4141,flare.query
flare.query.Distinct,Distinct,933,flare.query
flare.query.Expression,Expression,5130,flare.query
flare.query.ExpressionIterator,ExpressionIterator,3617,flare.query
flare.query.Fn,Fn,3240,flare.query
flare.query.If,If,2732,flare.query
flare.query.IsA,IsA,2039,flare.query
flare.query.Literal,Literal,1214,flare.query
flare.query.Match,Match,3748,flare.query
flare.query.Maximum,Maximum,843,flare.query
flare.query.methods.add,add,593,flare.query.methods
flare.query.methods.and,and,330,flare.query.methods
flare.query.methods.average,average,287,flare.query.methods
flare.query.methods.count,count,277,flare.query.methods
flare.query.methods.distinct,distinct,292,flare.query.methods
flare.query.methods.div,div,595,flare.query.methods
flare.query.methods.eq,eq,594,flare.query.methods
flare.query.methods.fn,fn,460,flare.query.methods
flare.query.methods.gt,gt,603,flare.query.methods
flare.query.methods.gte,gte,625,flare.query.methods
flare.query.methods.iff,iff,748,flare.query.methods
flare.query.methods.isa,isa,461,flare.query.methods
flare.query.methods.lt,lt,597,flare.query.methods
flare.query.methods.lte,lte,619,flare.query.methods
flare.query.methods.max,max,283,flare.query.methods
flare.query.methods.min,min,283,flare.query.methods
flare.query.methods.mod,mod,591,flare.query.methods
flare.query.methods.mul,mul,603,flare.query.methods
flare.query.methods.neq,neq,599,flare.query.methods
flare.query.methods.not,not,386,flare.query.methods
flare.query.methods.or,or,323,flare.query.methods
flare.query.methods.orderby,orderby,307,flare.query.methods
flare.query.methods.range,range,772,flare.query.methods
flare.query.methods.select,select,296,flare.query.methods
flare.query.methods.stddev,stddev,363,flare.query.methods
flare.query.methods.sub,sub,600,flare.query.methods
flare.query.methods.sum,sum,280,flare.query.methods
flare.query.methods.update,update,307,flare.query.methods
flare.query.methods.variance,variance,335,flare.query.methods
flare.query.methods.where,where,299,flare.query.methods
flare.query.methods.xor,xor,354,flare.query.methods
flare.query.methods._,_,264,flare.query.methods
flare.query.Minimum,Minimum,843,flare.query
flare.query.Not,Not,1554,flare.query
flare.query.Or,Or,970,flare.query
flare.query.Query,Query,13896,flare.query
flare.query.Range,Range,1594,flare.query
flare.query.StringUtil,StringUtil,4130,flare.query
flare.query.Sum,Sum,791,flare.query
flare.query.Variable,Variable,1124,flare.query
flare.query.Variance,Variance,1876,flare.query
flare.query.Xor,Xor,1101,flare.query
flare.scale.IScaleMap,IScaleMap,2105,flare.scale
flare.scale.LinearScale,LinearScale,1316,flare.scale
flare.scale.LogScale,LogScale,3151,flare.scale
flare.scale.OrdinalScale,OrdinalScale,3770,flare.scale
flare.scale.QuantileScale,QuantileScale,2435,flare.scale
flare.scale.QuantitativeScale,QuantitativeScale,4839,flare.scale
flare.scale.RootScale,RootScale,1756,flare.scale
flare.scale.Scale,Scale,4268,flare.scale
flare.scale.ScaleType,ScaleType,1821,flare.scale
flare.scale.TimeScale,TimeScale,5833,flare.scale
flare.util.Arrays,Arrays,8258,flare.util
flare.util.Colors,Colors,10001,flare.util
flare.util.Dates,Dates,8217,flare.util
flare.util.Displays,Displays,12555,flare.util
flare.util.Filter,Filter,2324,flare.util
flare.util.Geometry,Geometry,10993,flare.util
flare.util.heap.FibonacciHeap,FibonacciHeap,9354,flare.util.heap
flare.util.heap.HeapNode,HeapNode,1233,flare.util.heap
flare.util.IEvaluable,IEvaluable,335,flare.util
flare.util.IPredicate,IPredicate,383,flare.util
flare.util.IValueProxy,IValueProxy,874,flare.util
flare.util.math.DenseMatrix,DenseMatrix,3165,flare.util.math
flare.util.math.IMatrix,IMatrix,2815,flare.util.math
flare.util.math.SparseMatrix,SparseMatrix,3366,flare.util.math
flare.util.Maths,Maths,17705,flare.util
flare.util.Orientation,Orientation,1486,flare.util
flare.util.palette.ColorPalette,ColorPalette,6367,flare.util.palette
flare.util.palette.Palette,Palette,1229,flare.util.palette
flare.util.palette.ShapePalette,ShapePalette,2059,flare.util.palette
flare.util.palette.SizePalette,SizePalette,2291,flare.util.palette
flare.util.Property,Property,5559,flare.util
flare.util.Shapes,Shapes,19118,flare.util
flare.util.Sort,Sort,6887,flare.util
flare.util.Stats,Stats,6557,flare.util
flare.util.Strings,Strings,22026,flare.util
flare.vis.axis.Axes,Axes,1302,flare.vis.axis
flare.vis.axis.Axis,Axis,24593,flare.vis.axis
flare.vis.axis.AxisGridLine,AxisGridLine,652,flare.vis.axis
flare.vis.axis.AxisLabel,AxisLabel,636,flare.vis.axis
flare.vis.axis.CartesianAxes,CartesianAxes,6703,flare.vis.axis
flare.vis.controls.AnchorControl,AnchorControl,2138,flare.vis.controls
flare.vis.controls.ClickControl,ClickControl,3824,flare.vis.controls
flare.vis.controls.Control,Control,1353,flare.vis.controls
flare.vis.controls.ControlList,ControlList,4665,flare.vis.controls
flare.vis.controls.DragControl,DragControl,2649,flare.vis.controls
flare.vis.controls.ExpandControl,ExpandControl,2832,flare.vis.controls
flare.vis.controls.HoverControl,HoverControl,4896,flare.vis.controls
flare.vis.controls.IControl,IControl,763,flare.vis.controls
flare.vis.controls.PanZoomControl,PanZoomControl,5222,flare.vis.controls
flare.vis.controls.SelectionControl,SelectionControl,7862,flare.vis.controls
flare.vis.controls.TooltipControl,TooltipControl,8435,flare.vis.controls
flare.vis.data.Data,Data,20544,flare.vis.data
flare.vis.data.DataList,DataList,19788,flare.vis.data
flare.vis.data.DataSprite,DataSprite,10349,flare.vis.data
flare.vis.data.EdgeSprite,EdgeSprite,3301,flare.vis.data
flare.vis.data.NodeSprite,NodeSprite,19382,flare.vis.data
flare.vis.data.render.ArrowType,ArrowType,698,flare.vis.data.render
flare.vis.data.render.EdgeRenderer,EdgeRenderer,5569,flare.vis.data.render
flare.vis.data.render.IRenderer,IRenderer,353,flare.vis.data.render
flare.vis.data.render.ShapeRenderer,ShapeRenderer,2247,flare.vis.data.render
flare.vis.data.ScaleBinding,ScaleBinding,11275,flare.vis.data
flare.vis.data.Tree,Tree,7147,flare.vis.data
flare.vis.data.TreeBuilder,TreeBuilder,9930,flare.vis.data
flare.vis.events.DataEvent,DataEvent,2313,flare.vis.events
flare.vis.events.SelectionEvent,SelectionEvent,1880,flare.vis.events
flare.vis.events.TooltipEvent,TooltipEvent,1701,flare.vis.events
flare.vis.events.VisualizationEvent,VisualizationEvent,1117,flare.vis.events
flare.vis.legend.Legend,Legend,20859,flare.vis.legend
flare.vis.legend.LegendItem,LegendItem,4614,flare.vis.legend
flare.vis.legend.LegendRange,LegendRange,10530,flare.vis.legend
flare.vis.operator.distortion.BifocalDistortion,BifocalDistortion,4461,flare.vis.operator.distortion
flare.vis.operator.distortion.Distortion,Distortion,6314,flare.vis.operator.distortion
flare.vis.operator.distortion.FisheyeDistortion,FisheyeDistortion,3444,flare.vis.operator.distortion
flare.vis.operator.encoder.ColorEncoder,ColorEncoder,3179,flare.vis.operator.encoder
flare.vis.operator.encoder.Encoder,Encoder,4060,flare.vis.operator.encoder
flare.vis.operator.encoder.PropertyEncoder,PropertyEncoder,4138,flare.vis.operator.encoder
flare.vis.operator.encoder.ShapeEncoder,ShapeEncoder,1690,flare.vis.operator.encoder
flare.vis.operator.encoder.SizeEncoder,SizeEncoder,1830,flare.vis.operator.encoder
flare.vis.operator.filter.FisheyeTreeFilter,FisheyeTreeFilter,5219,flare.vis.operator.filter
flare.vis.operator.filter.GraphDistanceFilter,GraphDistanceFilter,3165,flare.vis.operator.filter
flare.vis.operator.filter.VisibilityFilter,VisibilityFilter,3509,flare.vis.operator.filter
flare.vis.operator.IOperator,IOperator,1286,flare.vis.operator
flare.vis.operator.label.Labeler,Labeler,9956,flare.vis.operator.label
flare.vis.operator.label.RadialLabeler,RadialLabeler,3899,flare.vis.operator.label
flare.vis.operator.label.StackedAreaLabeler,StackedAreaLabeler,3202,flare.vis.operator.label
flare.vis.operator.layout.AxisLayout,AxisLayout,6725,flare.vis.operator.layout
flare.vis.operator.layout.BundledEdgeRouter,BundledEdgeRouter,3727,flare.vis.operator.layout
flare.vis.operator.layout.CircleLayout,CircleLayout,9317,flare.vis.operator.layout
flare.vis.operator.layout.CirclePackingLayout,CirclePackingLayout,12003,flare.vis.operator.layout
flare.vis.operator.layout.DendrogramLayout,DendrogramLayout,4853,flare.vis.operator.layout
flare.vis.operator.layout.ForceDirectedLayout,ForceDirectedLayout,8411,flare.vis.operator.layout
flare.vis.operator.layout.IcicleTreeLayout,IcicleTreeLayout,4864,flare.vis.operator.layout
flare.vis.operator.layout.IndentedTreeLayout,IndentedTreeLayout,3174,flare.vis.operator.layout
flare.vis.operator.layout.Layout,Layout,7881,flare.vis.operator.layout
flare.vis.operator.layout.NodeLinkTreeLayout,NodeLinkTreeLayout,12870,flare.vis.operator.layout
flare.vis.operator.layout.PieLayout,PieLayout,2728,flare.vis.operator.layout
flare.vis.operator.layout.RadialTreeLayout,RadialTreeLayout,12348,flare.vis.operator.layout
flare.vis.operator.layout.RandomLayout,RandomLayout,870,flare.vis.operator.layout
flare.vis.operator.layout.StackedAreaLayout,StackedAreaLayout,9121,flare.vis.operator.layout
flare.vis.operator.layout.TreeMapLayout,TreeMapLayout,9191,flare.vis.operator.layout
flare.vis.operator.Operator,Operator,2490,flare.vis.operator
flare.vis.operator.OperatorList,OperatorList,5248,flare.vis.operator
flare.vis.operator.OperatorSequence,OperatorSequence,4190,flare.vis.operator
flare.vis.operator.OperatorSwitch,OperatorSwitch,2581,flare.vis.operator
flare.vis.operator.SortOperator,SortOperator,2023,flare.vis.operator
flare.vis.Visualization,Visualization,16540,flare.vis
flare.analytics.cluster,cluster,0,flare.analytics
flare.analytics.graph,graph,0,flare.analytics
flare.analytics.optimization,optimization,0,flare.analytics
flare.animate,animate,0,flare
flare.animate.interpolate,interpolate,0,flare.animate
flare.data.converters,converters,0,flare.data
flare.data,data,0,flare
flare.display,display,0,flare
flare.flex,flex,0,flare
flare.physics,physics,0,flare
flare.query,query,0,flare
flare.query.methods,methods,0,flare.query
flare.scale,scale,0,flare
flare.util,util,0,flare
flare.util.heap,heap,0,flare.util
flare.util.math,math,0,flare.util
flare.util.palette,palette,0,flare.util
flare.vis.axis,axis,0,flare.vis
flare.vis.controls,controls,0,flare.vis
flare.vis.data,data,0,flare.vis
flare.vis.data.render,render,0,flare.vis.data
flare.vis.events,events,0,flare.vis
flare.vis.legend,legend,0,flare.vis
flare.vis.operator.distortion,distortion,0,flare.vis.operator
flare.vis.operator.encoder,encoder,0,flare.vis.operator
flare.vis.operator.filter,filter,0,flare.vis.operator
flare.vis.operator,operator,0,flare.vis
flare.vis.operator.label,label,0,flare.vis.operator
flare.vis.operator.layout,layout,0,flare.vis.operator
flare.vis,vis,0,flare
flare.analytics,analytics,0,flare
flare,flare,0,
